arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_effect_summary_ols,6,26,16,32,32,48,137.7212,240.0,3.6923,886.1538,49.2308,0.08
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_effect_summary_pymc,6,26,16,32,32,48,137.7212,240.0,3.6923,886.1538,49.2308,0.08
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_effect_summary_period_not_supported,3,11,6,12,14,18,42.8086,68.5324,1.6364,112.1439,6.2302,0.0228
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_post_impact_attributes,4,16,9,18,20,27,72.0,116.6921,2.25,262.5571,14.5865,0.0389
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_class_attributes,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_instance_attributes,2,13,8,16,15,24,50.1057,93.7654,1.2308,115.4035,6.4113,0.0313
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_float_threshold,4,12,7,14,16,21,51.0196,84.0,2.3333,196.0,10.8889,0.028
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_summary_with_round_to,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_plot_with_round_to,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_ols_multiple_interruptions_plot,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_datetime_plot,3,11,6,12,14,18,42.8086,68.5324,1.6364,112.1439,6.2302,0.0228
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_pymc_get_plot_data_custom_hdi,1,7,6,12,8,18,19.6515,54.0,0.8571,46.2857,2.5714,0.018
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_pymc_multiple_interruptions_plot,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_pymc_post_impact_attributes,5,16,9,18,21,27,75.6096,118.5926,2.8125,333.5416,18.5301,0.0395
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_datetime_post_intervention_attributes,4,12,7,14,16,21,51.0196,84.0,2.3333,196.0,10.8889,0.028
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_interruption_column_indices,3,7,4,8,10,12,24.4064,39.8631,1.7143,68.3368,3.7965,0.0133
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_counterfactual_zeros_interruption_terms,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_data_index_name,1,2,2,4,3,6,2.0,9.5098,1.0,9.5098,0.5283,0.0032
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_ols_various_effects,5,10,9,18,15,27,44.8289,105.486,4.5,474.6872,26.3715,0.0352
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_ols_multiple_interruption_configs,3,7,4,8,10,12,24.4064,39.8631,1.7143,68.3368,3.7965,0.0133
causalpy/tests/test_piecewise_its.py,funcao,test_generate_piecewise_its_data_slope_changes_mismatched,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_piecewise_its.py,funcao,test_generate_piecewise_its_data_default_values,1,12,6,12,13,18,43.0196,66.6079,0.5,33.304,1.8502,0.0222
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_unrecognized_model_type,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_score_attribute_ols,1,3,2,3,4,5,4.7549,10.0,0.5,5.0,0.2778,0.0033
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_ols_model_without_fit_intercept,4,12,7,14,16,21,51.0196,84.0,2.3333,196.0,10.8889,0.028
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_x_y_shapes,1,5,3,6,6,9,11.6096,23.2647,0.6,13.9588,0.7755,0.0078
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_y_pred_shape,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_effect_pre_intervention_zero,0,0,0,0,0,0,0,0,0,0,0,0
